,Rank,Player,Team,EFG,Ht,Wt,Yr
71,72,Armando Bacot,North Carolina,59.9,6-10,240.0,Jr
72,73,Drew Timme,Gonzaga,59.9,6-10,235.0,Jr
73,74,Kofi Cockburn,Illinois,59.8,7-0,285.0,Jr
74,75,Francis Nwaokorie,UC San Diego,59.8,6-7,220.0,Fr
75,76,Yauhen Massalski,San Francisco,59.7,6-9,240.0,Sr
76,77,Parker Braun,Santa Clara,59.7,6-10,215.0,Jr
77,78,Carl Pierre,Rice,59.7,6-4,190.0,Sr
78,79,Ethan Wright,Princeton,59.7,6-4,190.0,Sr
79,80,Dillon Jones,Weber St.,59.6,6-6,235.0,Fr
80,81,Ryan Burkhardt,Southeastern Louisiana,59.6,6-5,185.0,Sr
81,82,Jack Nunge,Xavier,59.4,7-0,245.0,Jr
82,83,Hunter Goodrick,South Dakota,59.4,6-7,215.0,So
83,84,Dane Goodwin,Notre Dame,59.3,6-6,200.0,Jr
84,85,CJ Wilcher,Nebraska,59.3,6-5,221.0,Fr
85,86,Javonte Johnson,New Mexico,59.3,6-6,190.0,So
86,87,Vince Williams,VCU,59.2,6-6,205.0,Sr
87,88,Jeameril Wilson,Lehigh,59.2,6-7,200.0,Sr
88,89,Moses Wood,Portland,59.1,6-8,210.0,So
89,90,Andrew Carr,Delaware,59.1,6-9,210.0,So
91,92,Trayce Jackson-Davis,Indiana,59.1,6-9,245.0,So
92,93,Jordan King,East Tennessee St.,59.1,6-0,172.0,So
93,94,Parker Hazen,Lipscomb,58.9,6-8,210.0,Sr
94,95,Michael Jones,Davidson,58.9,6-5,210.0,Jr
95,96,Justin Bean,Utah St.,58.9,6-7,210.0,Sr
96,97,Ben Sheppard,Belmont,58.9,6-6,185.0,Jr
97,98,Jeremiah Oden,Wyoming,58.8,6-8,201.0,So
98,99,Cheikh Mbacke Diong,UCF,58.8,6-11,235.0,Sr
99,100,Eric Hunter,Purdue,58.8,6-4,175.0,Sr
