,Team,Tempo-Adj,Avg. Poss Length-Offense,Avg. Poss Length-Defense,Off. Efficiency-Adj,Def. Efficiency-Adj,AdjTempo,AdjOE_x,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,AdjDE,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,3P%,2P%,FT%,Blk%,Stl%,A%,3PA%,AdjOE_y,Off-FT,Off-2P,Off-3P,Def-FT,Def-2P,Def-3P
116,Howard,70.3,16.9,16.5,100.4,105.7,70.3,100.4,50.4,20.7,28.0,36.2,105.7,49.4,23.5,34.5,33.9,36.2,47.8,74.7,9.8,9.9,10.7,54.3,40.0,21.2,44.8,34.0,19.8,52.5,27.8
117,IUPUI,62.2,20.0,17.7,79.6,111.0,62.2,79.6,42.4,26.1,30.0,24.9,111.0,52.8,20.6,33.0,37.5,29.2,41.6,67.4,9.5,12.1,14.0,53.6,34.6,16.5,53.6,29.9,20.9,45.6,33.5
118,Idaho,69.9,17.4,16.4,99.5,113.9,69.9,99.5,50.2,18.5,23.3,33.8,113.9,54.6,14.5,26.4,33.9,36.7,47.4,74.7,10.0,8.4,10.0,46.3,37.0,20.1,47.5,32.4,17.8,55.9,26.3
119,Idaho St.,63.8,19.4,16.9,94.2,111.5,63.8,94.2,47.4,21.1,27.6,33.0,111.5,53.2,16.7,27.5,35.2,29.6,49.6,68.4,8.6,10.5,10.6,45.8,42.2,19.2,48.8,32.0,19.5,52.1,28.4
120,Illinois,67.1,18.2,17.1,113.7,94.1,67.1,113.7,53.1,17.7,33.4,31.7,94.1,46.3,15.6,25.8,28.4,36.7,51.7,70.8,8.6,9.5,8.2,57.7,42.7,17.4,46.1,36.5,18.1,56.6,25.3
121,Illinois Chicago,69.1,17.3,17.6,99.6,110.0,69.1,99.6,51.1,17.2,25.0,22.9,110.0,51.6,16.9,27.2,34.2,32.4,53.3,70.8,6.5,9.6,7.6,54.2,46.1,13.7,48.5,37.9,19.3,56.7,24.0
122,Illinois St.,67.9,16.5,18.4,105.3,106.6,67.9,105.3,51.8,19.6,28.6,31.3,106.6,50.9,17.4,29.8,31.9,36.9,49.7,75.1,6.7,10.1,9.4,46.7,37.1,18.5,49.2,32.3,19.1,50.2,30.7
123,Incarnate Word,64.6,18.8,16.7,94.9,116.8,64.6,94.9,48.4,20.1,22.6,27.4,116.8,56.8,18.1,32.7,30.0,33.8,46.5,80.7,7.9,9.6,10.5,48.6,45.0,18.6,43.0,38.4,15.8,54.6,29.6
124,Indiana,66.9,17.6,17.9,107.5,92.2,66.9,107.5,51.0,17.2,27.4,33.5,92.2,45.8,17.8,25.1,30.9,33.5,51.4,69.6,6.9,9.6,7.6,56.8,31.5,18.6,56.2,25.2,20.4,45.4,34.2
125,Indiana St.,69.1,17.1,17.6,98.5,103.1,69.1,98.5,50.6,19.2,17.3,26.4,103.1,51.7,15.8,22.5,26.2,32.0,52.8,77.8,11.0,9.3,9.9,52.8,46.0,16.9,46.8,36.3,16.1,50.6,33.3
126,Iona,68.9,16.3,17.9,107.6,99.4,68.9,107.6,50.7,17.8,31.6,37.6,99.4,46.4,19.0,29.4,34.1,33.3,51.1,69.7,8.2,9.9,7.9,60.9,36.2,20.5,51.1,28.4,20.6,53.7,25.7
127,Iowa,69.6,15.8,18.2,121.6,98.0,69.6,121.6,53.6,12.9,32.2,30.4,98.0,49.8,19.3,30.2,26.2,36.8,52.6,74.9,7.4,7.5,5.5,53.8,39.1,17.5,49.2,33.3,15.7,53.8,30.5
128,Iowa St.,66.0,17.7,17.8,104.4,90.4,66.0,104.4,49.9,20.4,28.2,28.1,90.4,48.4,24.6,28.5,36.3,32.1,50.9,68.4,11.3,10.7,9.7,60.1,37.4,16.2,53.5,30.3,21.2,51.7,27.1
129,Jackson St.,63.6,18.7,17.7,93.6,102.6,63.6,93.6,45.3,19.9,31.4,26.5,102.6,47.7,18.4,27.9,36.6,30.0,45.5,63.4,8.8,10.0,9.9,46.8,30.4,15.6,58.9,25.4,20.9,55.3,23.7
130,Jacksonville,61.4,20.2,18.1,100.3,100.0,61.4,100.3,48.6,18.6,33.6,30.5,100.0,47.2,16.5,23.5,30.8,34.5,47.2,69.7,9.9,8.9,9.7,49.1,31.1,17.9,54.9,27.2,19.0,46.2,34.7
131,Jacksonville St.,65.1,18.9,17.2,105.3,103.0,65.1,105.3,54.2,20.0,28.3,32.2,103.0,48.0,17.1,26.3,21.1,38.2,51.8,68.3,8.3,9.7,10.2,53.9,42.7,16.9,45.6,37.6,14.5,46.5,39.0
132,James Madison,68.7,16.2,18.3,102.6,107.8,68.7,102.6,51.1,17.7,25.9,30.6,107.8,53.3,20.6,31.5,27.5,34.2,50.9,70.5,7.6,9.0,8.7,45.6,35.5,17.5,53.1,29.4,16.1,46.6,37.3
133,Kansas,69.1,16.5,17.9,119.4,93.8,69.1,119.4,54.1,17.8,33.4,32.8,93.8,46.9,18.4,28.7,27.8,35.5,54.5,72.4,7.8,9.7,8.0,53.9,33.8,18.0,54.7,27.3,17.3,55.5,27.2
134,Kansas St.,66.5,17.6,17.9,109.4,97.3,66.5,109.4,49.4,16.9,25.2,29.6,97.3,49.5,19.8,28.3,32.0,34.6,47.5,72.6,10.5,8.4,8.5,51.6,42.4,17.9,45.5,36.6,18.4,51.6,30.0
135,Kennesaw St.,66.1,17.8,17.8,104.8,109.1,66.1,104.8,51.8,17.4,28.7,29.7,109.1,53.1,18.2,27.9,35.3,36.2,50.3,65.9,7.5,8.7,8.8,49.9,38.0,15.9,50.6,33.5,19.0,46.6,34.5
136,Kent St.,65.8,17.9,17.8,101.4,99.5,65.8,101.4,49.7,18.7,31.1,32.5,99.5,48.5,19.6,26.6,36.0,32.1,50.7,74.7,7.5,9.9,8.8,49.1,39.7,19.6,49.4,30.9,20.9,46.5,32.6
137,Kentucky,67.3,16.9,17.6,120.2,93.5,67.3,120.2,53.3,16.6,37.8,27.2,93.5,46.6,17.4,24.8,25.1,34.9,53.7,73.0,6.4,8.7,7.9,53.0,28.0,15.7,61.1,23.2,16.2,54.4,29.5
138,LIU,72.3,15.8,17.1,99.9,105.4,72.3,99.9,48.4,18.5,30.6,30.4,105.4,48.6,18.1,29.8,29.8,31.0,49.7,68.2,7.4,9.7,8.8,61.7,40.1,17.6,50.7,31.7,18.1,48.3,33.5
139,LSU,68.6,16.3,17.6,107.6,88.5,68.6,107.6,49.5,20.5,33.8,33.0,88.5,45.1,25.3,31.2,38.4,31.9,50.4,73.2,8.8,9.7,10.7,48.7,34.6,19.6,53.5,26.9,22.7,44.3,33.0
140,La Salle,67.1,17.6,17.5,99.0,103.7,67.1,99.0,47.8,18.6,29.0,25.1,103.7,50.0,16.8,27.4,31.0,32.0,47.6,68.7,8.1,9.5,9.1,53.8,39.9,15.3,50.8,33.9,18.0,49.6,32.4
141,Lafayette,64.6,18.3,18.1,97.3,111.8,64.6,97.3,50.6,16.5,22.3,20.9,111.8,53.7,17.2,30.0,25.8,32.8,51.9,68.3,7.6,8.4,8.1,64.5,45.6,12.4,48.8,38.8,14.3,52.8,33.0
142,Lamar,65.9,18.1,17.2,92.4,112.3,65.9,92.4,44.5,21.7,30.0,26.2,112.3,52.9,17.9,31.9,38.5,30.2,44.1,68.5,8.1,11.3,10.4,48.6,30.6,16.8,57.3,25.9,20.5,45.4,34.2
143,Lehigh,68.0,17.7,17.3,98.2,110.4,68.0,98.2,52.1,19.2,21.5,25.1,110.4,49.3,14.7,26.4,31.8,38.2,48.9,74.2,11.7,10.7,8.5,55.9,38.2,15.2,49.2,35.7,19.0,57.5,23.5
144,Liberty,65.2,18.7,17.6,105.1,101.3,65.2,105.1,55.5,18.0,22.2,28.4,101.3,48.3,17.1,22.8,31.4,38.1,54.0,76.7,8.2,9.9,8.1,56.3,49.7,16.4,40.9,42.7,19.0,46.0,35.0
145,Lipscomb,69.1,16.7,17.4,102.3,110.5,69.1,102.3,52.3,19.0,22.7,33.9,110.5,51.5,14.1,28.0,22.7,34.0,53.2,72.2,13.2,10.2,8.8,58.9,41.4,19.0,48.3,32.7,13.8,47.3,38.9
146,Little Rock,66.6,18.1,17.6,97.1,112.0,66.6,97.1,47.9,20.3,23.5,32.3,112.0,56.3,20.0,30.6,31.0,33.3,46.6,73.2,8.0,8.9,11.4,54.7,38.7,19.8,47.8,32.4,16.4,49.9,33.7
