,Team,Tempo-Adj,Avg. Poss Length-Offense,Avg. Poss Length-Defense,Off. Efficiency-Adj,Def. Efficiency-Adj,AdjTempo,AdjOE_x,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,AdjDE,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,3P%,2P%,FT%,Blk%,Stl%,A%,3PA%,AdjOE_y,Off-FT,Off-2P,Off-3P,Def-FT,Def-2P,Def-3P
207,North Texas,59.0,21.2,18.2,105.3,91.9,59.0,105.3,51.3,18.6,31.4,38.0,91.9,45.9,19.8,25.1,32.6,35.8,49.6,65.2,8.9,9.1,9.5,48.9,42.1,19.4,45.0,35.5,19.6,58.7,21.6
208,Northeastern,64.3,19.1,17.7,96.9,105.0,64.3,96.9,50.1,21.2,26.3,30.6,105.0,51.7,15.7,23.7,25.6,32.0,51.6,73.4,7.1,11.1,10.1,49.5,40.5,18.3,50.1,31.6,15.7,53.3,31.0
209,Northern Arizona,65.0,18.8,16.9,95.8,112.5,65.0,95.8,47.9,20.5,28.9,27.7,112.5,53.0,13.8,23.7,34.1,34.3,45.4,67.6,9.6,8.9,11.6,50.9,41.9,16.4,46.1,37.6,19.2,50.2,30.6
210,Northern Colorado,69.5,16.7,17.3,107.8,111.4,69.5,107.8,56.0,16.9,21.3,31.6,111.4,52.9,14.4,24.5,31.3,38.0,55.2,71.9,6.8,8.3,8.6,43.8,45.5,16.8,44.6,38.5,17.8,52.3,29.8
211,Northern Illinois,66.9,17.4,17.4,93.1,104.1,66.9,93.1,47.2,19.8,24.3,33.1,104.1,50.6,19.7,29.4,40.7,31.8,46.9,67.5,12.7,9.3,10.5,48.8,33.4,19.1,53.6,27.3,22.6,50.3,27.1
212,Northern Iowa,67.0,17.5,17.9,110.2,101.9,67.0,110.2,52.6,16.3,21.2,34.3,101.9,53.8,18.2,21.4,23.1,34.4,53.3,79.1,7.5,9.6,6.7,44.0,42.7,20.5,46.2,33.3,13.6,44.8,41.6
213,Northern Kentucky,64.1,17.9,18.7,101.2,103.1,64.1,101.2,49.5,19.9,36.0,26.6,103.1,49.5,21.1,31.0,25.0,34.1,48.3,71.2,8.2,9.5,10.4,53.0,41.6,16.1,47.9,36.0,16.0,51.2,32.8
214,Northwestern,67.6,17.1,17.7,106.7,97.2,67.6,106.7,49.0,14.1,25.7,25.1,97.2,50.8,19.3,25.3,34.8,34.6,47.3,71.9,9.5,7.3,6.8,58.8,38.7,15.6,49.9,34.5,19.9,44.3,35.8
215,Northwestern St.,71.1,16.7,15.8,98.5,113.9,71.1,98.5,49.5,20.1,27.8,25.0,113.9,53.2,17.1,32.2,34.1,34.4,48.4,70.2,8.3,11.4,8.7,53.3,34.2,15.1,54.6,30.3,19.2,54.0,26.8
216,Notre Dame,65.7,18.1,18.1,112.0,98.3,65.7,112.0,54.0,15.5,22.1,27.6,98.3,49.1,15.0,24.1,22.9,37.7,52.0,75.9,9.1,9.0,6.5,55.4,43.1,16.3,45.9,37.8,13.9,56.6,29.5
217,Oakland,67.3,18.0,16.9,103.1,104.4,67.3,103.1,49.1,18.0,30.7,34.0,104.4,50.2,20.5,33.4,21.5,29.7,52.5,78.8,9.4,8.9,9.1,51.2,41.8,21.4,48.8,29.8,13.1,52.7,34.1
218,Ohio,67.3,17.1,17.6,104.5,100.6,67.3,104.5,50.8,15.4,26.9,30.5,100.6,49.7,20.6,25.8,27.9,34.1,50.4,73.2,10.2,8.2,7.2,49.8,45.7,18.0,44.2,37.8,17.5,53.3,29.2
219,Ohio St.,65.0,18.8,17.8,116.7,100.8,65.0,116.7,54.8,16.6,28.8,33.5,100.8,47.9,15.3,28.6,29.2,37.3,54.0,76.0,7.8,9.2,7.4,49.3,39.7,18.8,48.2,32.9,18.3,51.0,30.7
220,Oklahoma,65.0,17.9,18.1,110.9,94.4,65.0,110.9,54.7,22.0,25.7,27.9,94.4,49.1,20.4,26.4,26.5,34.4,56.8,74.6,8.9,11.5,10.5,54.9,41.1,16.0,51.4,32.6,16.6,56.0,27.3
221,Oklahoma St.,67.5,16.6,18.1,103.6,88.5,67.5,103.6,48.0,21.4,32.3,33.0,88.5,45.7,22.8,31.4,31.2,29.5,49.8,66.7,8.6,11.7,9.7,50.4,31.4,18.6,57.8,23.5,19.8,45.9,34.3
222,Old Dominion,64.2,18.0,18.2,101.1,102.9,64.2,101.1,46.9,18.4,32.4,34.3,102.9,49.7,17.1,27.3,29.4,29.0,48.1,67.2,6.6,8.5,9.9,49.7,26.2,19.7,60.8,19.5,16.7,44.6,38.7
223,Oral Roberts,70.2,15.6,17.9,109.7,109.0,70.2,109.7,53.9,13.3,26.6,23.0,109.0,51.1,12.7,24.7,24.8,37.2,52.3,72.2,10.1,7.2,6.1,38.0,46.2,13.3,45.2,41.4,14.6,55.3,30.2
224,Oregon,68.0,17.2,17.7,110.2,99.2,68.0,110.2,51.4,17.1,29.6,29.8,99.2,49.6,19.3,30.7,29.0,33.8,51.8,67.8,7.2,8.2,8.9,44.6,35.6,16.4,54.2,29.4,17.1,52.3,30.6
225,Oregon St.,66.5,17.6,17.9,105.6,110.8,66.5,105.6,49.2,18.2,26.2,27.6,110.8,55.0,17.5,34.0,29.1,31.9,49.8,70.9,7.5,9.8,8.4,47.3,30.8,16.6,58.5,24.9,15.9,51.3,32.8
226,Pacific,68.0,17.3,17.4,95.4,105.9,68.0,95.4,46.2,17.4,22.6,32.3,105.9,54.9,18.7,22.6,28.1,31.4,45.8,68.3,6.1,7.7,9.7,49.1,33.2,19.3,53.5,27.3,16.4,45.6,38.0
227,Penn,67.5,17.9,16.8,106.2,109.6,67.5,106.2,51.3,17.0,25.4,24.1,109.6,52.1,15.3,28.0,28.8,33.5,52.0,72.8,9.0,8.4,8.6,46.9,40.2,14.6,51.8,33.6,16.4,51.8,31.8
228,Penn St.,61.9,20.4,17.6,105.3,95.9,61.9,105.3,50.5,18.6,28.5,21.8,95.9,48.3,13.7,24.1,26.2,34.2,49.9,73.5,10.0,9.4,9.1,49.7,42.6,13.7,49.0,37.3,16.5,48.9,34.5
229,Pepperdine,69.8,15.9,17.6,97.8,107.2,69.8,97.8,47.5,20.4,26.3,23.9,107.2,52.7,18.0,31.0,31.5,34.1,45.6,71.3,6.9,10.3,10.1,57.8,34.8,15.2,53.0,31.8,17.6,54.3,28.1
230,Pittsburgh,63.9,19.4,17.9,99.4,102.2,63.9,99.4,46.7,21.2,30.5,39.4,102.2,52.0,16.5,26.1,29.4,31.4,46.5,69.6,9.1,10.3,10.9,52.1,33.6,22.7,51.1,26.2,16.7,45.3,38.0
231,Portland,68.8,17.2,16.8,103.0,103.5,68.8,103.0,49.6,18.3,24.0,33.4,103.5,49.8,17.2,27.2,25.7,34.5,48.3,80.2,7.8,8.6,9.7,55.4,38.1,21.3,47.5,31.3,15.9,48.5,35.7
232,Portland St.,70.9,15.8,17.6,96.0,103.5,70.9,96.0,47.1,17.0,26.1,31.6,103.5,52.7,23.3,31.8,39.4,29.7,48.4,74.2,8.2,8.1,8.9,41.1,34.0,19.9,54.3,25.7,20.6,48.3,31.1
233,Prairie View A&M,70.1,16.9,16.4,97.3,107.1,70.1,97.3,48.4,24.0,31.7,38.5,107.1,51.0,20.6,34.2,44.8,34.5,46.7,70.3,10.5,12.0,12.1,47.8,32.7,21.8,50.7,27.3,22.7,48.5,28.8
234,Presbyterian,64.0,18.8,17.8,96.6,104.8,64.0,96.6,45.4,19.5,33.2,30.2,104.8,53.5,21.2,24.7,40.7,26.1,49.0,68.9,9.4,10.0,9.6,50.7,36.6,18.7,55.6,25.7,21.8,45.9,32.3
235,Princeton,66.8,17.4,17.3,112.4,106.5,66.8,112.4,56.7,14.5,24.8,21.3,106.5,51.3,15.5,23.5,21.7,38.4,55.9,64.0,8.8,8.0,6.5,49.2,44.9,10.7,48.5,40.8,13.4,59.9,26.6
236,Providence,65.2,18.5,17.7,111.9,98.1,65.2,111.9,50.3,17.3,30.5,38.5,98.1,46.7,15.8,28.0,26.3,34.3,49.6,72.6,9.9,9.0,8.4,54.0,38.1,21.8,47.7,30.5,16.6,53.2,30.1
237,Purdue,65.7,17.9,18.2,121.3,98.9,65.7,121.3,57.0,17.3,35.2,36.3,98.9,49.6,14.2,23.6,21.4,39.1,55.9,70.3,6.7,8.7,8.6,58.9,39.1,18.3,48.9,32.8,13.4,50.6,35.9
238,Purdue Fort Wayne,68.2,17.3,17.5,98.8,103.9,68.2,98.8,53.3,19.4,22.6,26.7,103.9,52.9,21.8,27.3,26.5,36.5,52.1,74.9,9.4,8.8,10.6,53.4,44.3,15.8,45.9,38.3,15.3,51.2,33.5
239,Quinnipiac,68.7,16.9,17.8,102.7,108.5,68.7,102.7,50.0,18.7,28.6,27.0,108.5,50.6,17.2,28.6,27.2,34.0,49.2,76.4,11.8,10.1,8.6,56.1,43.5,17.1,46.2,36.7,16.3,49.7,34.0
240,Radford,64.0,18.7,17.9,95.4,105.8,64.0,95.4,46.5,20.6,28.9,27.8,105.8,52.0,20.2,25.9,37.4,29.8,47.7,68.0,10.2,10.4,10.2,46.6,40.7,16.9,50.6,32.5,20.7,49.3,30.0
241,Rhode Island,67.2,17.2,17.9,99.3,96.2,67.2,99.3,50.6,20.8,28.6,36.1,96.2,46.3,19.3,27.6,32.7,33.8,50.5,61.9,7.4,10.7,10.1,53.9,28.9,18.1,58.2,23.7,20.6,44.4,35.1
242,Rice,67.5,17.5,17.6,106.2,110.5,67.5,106.2,53.0,18.3,25.7,32.0,110.5,51.1,14.3,28.1,21.0,36.5,51.8,71.6,10.5,10.1,8.2,59.0,42.7,17.8,46.0,36.3,12.8,57.2,30.0
243,Richmond,66.8,17.7,18.1,109.1,99.2,66.8,109.1,51.5,14.4,22.4,30.9,99.2,50.5,19.1,27.2,23.5,33.7,52.2,72.5,9.4,7.9,6.5,57.7,42.1,17.8,48.2,33.9,14.4,54.5,31.1
244,Rider,66.8,18.0,17.0,99.0,104.2,66.8,99.0,45.6,17.4,29.4,27.2,104.2,49.2,18.4,28.3,33.2,31.6,44.9,73.6,9.0,8.7,8.7,50.5,27.9,18.0,58.2,23.8,19.0,43.7,37.3
245,Robert Morris,66.6,18.1,17.2,98.7,113.7,66.6,98.7,50.9,20.8,28.2,28.2,113.7,53.1,16.9,32.2,28.9,32.9,51.6,76.1,9.3,10.6,10.2,48.2,31.8,17.4,57.1,25.5,16.4,52.4,31.2
246,Rutgers,64.9,17.5,18.9,106.4,95.5,64.9,106.4,49.5,17.3,29.4,26.9,95.5,48.3,18.1,27.0,28.8,33.6,49.1,70.1,8.0,8.7,8.6,58.7,31.4,16.0,57.2,26.8,17.9,47.3,34.9
247,SIU Edwardsville,68.4,17.3,17.1,94.4,105.6,68.4,94.4,46.7,21.5,31.0,34.5,105.6,49.0,19.2,30.4,37.6,29.4,48.1,69.4,9.8,11.2,10.3,50.2,34.9,20.4,53.3,26.2,21.9,46.5,31.6
248,SMU,68.0,16.9,17.8,110.0,96.6,68.0,110.0,52.1,17.7,27.8,35.9,96.6,44.8,17.1,30.2,25.3,36.3,50.3,74.2,12.5,10.2,7.5,55.4,42.5,20.3,44.3,35.4,16.4,55.2,28.4
249,Sacramento St.,64.1,18.6,17.4,95.4,108.9,64.1,95.4,48.8,16.7,21.4,28.3,108.9,52.6,17.7,27.6,33.7,35.1,46.9,68.9,8.0,8.1,8.6,44.1,33.3,16.6,53.4,30.0,18.8,52.0,29.2
250,Sacred Heart,67.3,17.5,17.2,101.4,115.7,67.3,101.4,50.8,19.6,30.9,24.9,115.7,53.2,15.9,31.3,25.5,34.2,50.5,73.1,10.0,10.3,9.3,53.2,38.9,15.2,51.5,33.3,13.7,53.6,32.7
251,Saint Joseph's,67.8,17.9,17.1,100.5,100.0,67.8,100.5,49.7,19.6,27.0,22.9,100.0,47.7,13.7,24.1,26.9,33.6,49.0,65.4,11.1,10.0,9.5,54.4,44.9,13.1,47.2,39.6,16.6,57.3,26.1
252,Saint Louis,67.7,17.5,17.3,109.9,97.5,67.7,109.9,50.8,18.8,33.8,32.8,97.5,47.7,17.8,26.9,32.9,36.3,49.2,76.1,11.6,10.0,8.8,53.8,30.6,19.7,53.9,26.3,18.8,53.3,28.0
253,Saint Mary's,63.5,19.1,17.4,109.7,90.1,63.5,109.7,52.6,17.0,27.2,23.2,90.1,48.3,19.5,21.9,24.4,35.1,52.5,76.7,8.9,9.2,7.8,51.4,36.1,14.5,54.6,30.9,15.3,58.6,26.1
254,Saint Peter's,65.9,18.4,17.4,98.7,94.4,65.9,98.7,47.8,20.8,31.5,37.5,94.4,44.1,20.9,28.0,41.0,34.8,45.9,68.5,13.2,10.5,10.3,51.6,30.3,21.2,52.7,26.1,25.5,47.4,27.1
255,Sam Houston St.,64.7,18.2,17.8,101.0,98.5,64.7,101.0,48.3,18.4,30.6,25.0,98.5,48.6,20.8,26.3,34.7,33.6,46.8,60.5,7.4,8.7,9.7,53.1,42.3,13.5,48.3,38.1,20.7,45.8,33.4
256,Samford,68.9,16.9,17.9,105.2,106.2,68.9,105.2,52.0,19.4,29.9,29.1,106.2,52.3,17.8,28.9,32.1,33.3,53.5,72.8,6.5,11.0,8.3,46.0,43.4,16.9,48.4,34.6,17.8,43.8,38.4
257,San Diego,65.5,17.9,17.7,96.7,101.3,65.5,96.7,46.7,18.5,26.3,25.5,101.3,49.2,16.0,26.4,23.7,32.1,46.2,71.2,7.2,8.8,9.7,39.1,27.6,16.2,60.0,23.8,15.1,61.0,23.9
258,San Diego St.,65.3,17.5,19.2,103.9,86.1,65.3,103.9,48.8,19.3,29.6,31.3,86.1,44.0,21.7,27.0,30.6,35.8,46.6,69.5,8.3,8.7,10.6,49.7,30.8,18.2,54.1,27.7,19.0,49.0,32.0
259,San Francisco,68.7,17.4,16.6,110.7,92.5,68.7,110.7,53.1,18.1,30.2,28.4,92.5,46.9,18.5,23.8,32.2,34.7,53.9,69.2,9.0,8.5,9.6,47.0,44.4,15.6,47.6,36.8,19.6,57.7,22.6
260,San Jose St.,65.3,18.9,17.5,99.4,109.6,65.3,99.4,49.8,20.0,22.0,22.5,109.6,53.5,15.7,30.5,27.0,34.5,48.2,65.6,8.6,9.3,10.7,53.8,44.8,12.9,46.6,40.5,15.4,55.7,28.9
261,Santa Clara,70.7,15.6,18.2,112.2,101.0,70.7,112.2,54.5,16.2,23.4,27.6,101.0,48.5,16.5,26.2,21.2,37.8,53.5,76.2,7.8,7.7,8.5,52.5,32.1,16.2,55.8,28.0,14.3,55.6,30.1
262,Seattle,70.4,16.2,17.0,100.1,97.0,70.4,100.1,48.4,16.3,26.0,28.8,97.0,46.4,20.5,25.6,40.5,33.2,47.1,76.8,10.2,7.9,8.3,51.8,45.6,18.6,43.2,38.2,22.8,48.4,28.8
263,Seton Hall,67.2,17.0,17.8,108.4,93.5,67.2,108.4,47.6,17.5,32.7,30.8,93.5,45.4,18.5,29.1,27.8,33.3,46.2,75.6,11.0,9.3,8.2,39.9,35.6,19.7,50.3,30.0,19.2,52.5,28.4
264,Siena,66.2,18.0,17.7,97.9,104.4,66.2,97.9,48.7,18.4,24.5,28.9,104.4,49.1,17.3,28.5,29.2,35.6,46.3,73.3,8.4,10.6,7.8,42.1,34.0,17.9,51.5,30.6,17.3,57.5,25.1
265,South Alabama,66.4,17.2,18.5,103.7,101.2,66.4,103.7,51.7,19.4,26.7,31.0,101.2,47.3,20.8,31.6,30.7,34.2,51.9,71.2,6.7,8.5,10.9,44.4,34.7,17.6,54.0,28.4,18.8,49.5,31.8
266,South Carolina,70.4,16.1,17.1,101.6,94.0,70.4,101.6,47.3,21.4,33.6,29.2,94.0,47.3,21.5,32.1,41.6,31.3,47.4,67.1,8.3,11.7,9.7,52.7,34.7,17.2,54.3,28.6,23.6,48.8,27.6
267,South Carolina St.,69.9,16.0,16.7,93.4,105.9,69.9,93.4,43.3,20.2,34.3,31.9,105.9,49.9,20.6,29.0,37.4,30.6,42.1,69.5,9.1,9.2,11.0,46.3,33.0,20.4,51.8,27.8,20.8,46.4,32.8
268,South Dakota,65.5,18.8,16.8,104.8,107.3,65.5,104.8,52.0,15.2,26.7,34.1,107.3,52.7,15.6,22.4,34.2,37.3,50.0,75.4,6.1,7.0,8.1,43.6,33.3,19.8,51.4,28.8,19.0,49.9,31.1
269,South Dakota St.,69.4,15.6,18.0,116.7,105.3,69.4,116.7,59.7,15.3,24.0,35.2,105.3,51.5,15.8,24.2,21.3,44.2,56.3,76.0,7.1,6.6,8.7,47.3,34.3,18.3,50.6,31.1,13.3,49.9,36.8
270,South Florida,64.9,18.1,18.1,91.0,97.9,64.9,91.0,41.3,19.1,29.9,25.4,97.9,48.3,18.9,27.0,33.6,25.2,42.8,66.6,9.3,8.6,10.5,50.6,30.6,17.0,59.7,23.2,19.8,45.1,35.0
271,Southeast Missouri St.,71.7,15.9,17.5,104.4,110.6,71.7,104.4,51.6,17.8,25.5,36.7,110.6,52.5,18.2,28.9,39.7,35.3,50.6,73.0,8.7,8.9,8.9,53.3,43.3,20.6,44.1,35.3,21.7,48.8,29.5
272,Southeastern Louisiana,70.5,16.7,16.2,103.0,112.1,70.5,103.0,52.0,19.9,25.5,39.0,112.1,53.8,19.8,33.4,27.5,34.5,52.1,76.2,8.8,10.3,9.6,55.9,43.3,22.2,44.2,33.6,15.6,54.6,29.8
273,Southern,69.8,17.0,16.6,96.8,100.4,69.8,96.8,49.2,20.4,27.4,33.6,100.4,49.2,25.2,31.3,45.7,35.0,47.5,70.2,10.6,9.4,11.1,52.4,34.1,19.3,51.3,29.4,24.7,52.2,23.2
274,Southern Illinois,62.0,19.4,18.5,102.8,98.9,62.0,102.8,51.5,18.0,23.2,29.1,98.9,49.7,18.7,23.2,27.6,35.1,50.6,69.0,11.4,9.2,8.9,51.1,41.8,16.3,47.9,35.8,17.4,56.7,25.8
275,Southern Miss,66.9,17.4,17.9,94.2,112.0,66.9,94.2,46.8,19.7,23.8,26.6,112.0,54.0,15.8,28.4,28.1,30.9,47.0,68.7,7.2,10.3,9.4,50.1,30.0,16.3,58.8,24.8,15.7,47.0,37.3
276,Southern Utah,68.4,17.0,17.1,106.1,106.3,68.4,106.1,52.1,17.1,28.0,34.7,106.3,51.8,17.7,22.7,28.0,33.7,53.1,70.5,9.8,7.6,9.4,40.7,39.8,19.0,49.7,31.3,17.1,50.4,32.5
277,St. Bonaventure,65.6,17.7,18.3,108.8,98.6,65.6,108.8,50.4,15.8,27.3,26.5,98.6,50.0,19.2,27.2,22.9,32.5,51.2,75.0,7.2,8.0,7.8,52.3,31.4,16.5,58.2,25.3,14.1,46.7,39.2
278,St. Francis NY,66.5,18.3,17.1,94.8,109.1,66.5,94.8,46.0,17.9,29.4,23.3,109.1,51.9,18.9,29.8,32.4,31.3,45.4,70.9,10.3,9.0,8.8,47.2,36.8,15.2,52.9,31.8,17.8,58.1,24.1
279,St. Francis PA,67.2,18.0,16.8,95.3,109.9,67.2,95.3,46.9,18.1,30.4,29.8,109.9,52.4,18.3,31.9,25.6,31.5,46.7,64.5,8.9,9.9,8.2,50.1,31.3,17.0,56.8,26.2,14.5,51.6,33.9
280,St. John's,73.4,14.6,17.7,110.2,97.4,73.4,110.2,50.8,15.9,30.7,26.1,97.4,48.9,21.3,31.5,33.2,33.5,51.0,67.7,9.1,8.2,7.7,61.9,32.4,14.8,57.9,27.3,19.6,48.2,32.2
281,St. Thomas,65.1,18.4,17.4,107.0,119.1,65.1,107.0,52.0,12.6,20.7,23.7,119.1,58.9,16.1,27.2,32.5,34.4,52.5,77.1,10.6,5.2,7.4,44.5,49.9,14.9,43.0,42.0,16.9,49.1,33.9
282,Stanford,65.7,18.8,17.2,105.5,99.1,65.7,105.5,49.8,22.3,33.8,29.9,99.1,51.4,16.4,22.9,29.0,33.9,49.2,65.9,10.7,10.7,11.6,54.4,38.7,16.5,50.6,32.9,16.2,52.5,31.3
283,Stephen F. Austin,68.9,17.1,16.7,103.0,98.1,68.9,103.0,51.4,22.3,34.7,36.9,98.1,48.8,24.3,31.9,37.5,32.3,52.7,67.7,8.7,9.6,12.7,53.8,30.9,19.6,57.0,23.5,21.7,49.0,29.3
284,Stetson,65.6,18.8,17.1,96.7,109.2,65.6,96.7,48.8,19.5,28.2,25.6,109.2,53.0,16.1,27.5,26.8,34.9,46.5,69.9,8.8,9.5,10.0,55.0,40.2,15.5,48.1,36.4,14.9,50.1,35.0
285,Stony Brook,68.1,17.2,17.7,104.1,111.1,68.1,104.1,50.3,15.6,27.4,27.7,111.1,52.6,17.4,29.6,23.8,34.0,49.9,75.2,8.1,8.6,7.0,41.6,40.1,17.1,49.2,33.7,13.4,52.9,33.7
286,Syracuse,67.4,16.9,18.1,115.1,104.5,67.4,115.1,52.5,15.4,29.5,28.3,104.5,50.6,16.7,32.1,23.5,37.7,49.8,73.7,9.0,9.3,6.1,52.2,39.2,16.6,48.2,35.3,14.9,44.6,40.6
287,TCU,65.8,18.8,17.0,108.3,93.3,65.8,108.3,48.9,21.6,38.0,31.2,93.3,47.7,18.4,26.1,26.7,30.4,50.5,66.8,8.6,10.4,11.1,53.9,31.9,17.6,57.9,24.5,16.6,54.8,28.6
288,Tarleton St.,63.0,19.8,17.1,99.9,103.0,63.0,99.9,46.3,18.3,27.0,33.7,103.0,52.4,24.7,34.0,35.6,30.9,46.3,75.4,14.0,7.5,10.8,46.9,31.3,21.5,53.8,24.6,19.2,48.1,32.7
289,Temple,66.2,17.7,18.0,102.2,97.8,66.2,102.2,45.4,18.5,32.7,39.7,97.8,45.5,17.2,29.3,31.7,31.1,44.7,67.9,9.9,9.6,9.0,52.7,38.2,22.9,46.9,30.2,20.2,51.5,28.3
290,Tennessee,67.1,17.5,17.2,111.4,86.1,67.1,111.4,50.3,18.0,32.8,29.6,86.1,46.2,22.9,27.5,31.6,35.9,47.9,71.2,7.8,9.6,8.4,62.3,40.6,17.3,46.8,35.9,19.5,48.4,32.2
291,Tennessee Martin,68.8,17.1,17.0,96.4,108.8,68.8,96.4,46.1,19.4,30.0,26.3,108.8,50.8,18.5,31.8,37.2,29.7,47.0,69.4,13.1,9.8,9.6,43.5,36.4,16.5,54.1,29.4,20.8,49.0,30.2
292,Tennessee St.,67.4,17.8,16.9,98.3,106.7,67.4,98.3,49.1,19.8,29.6,30.5,106.7,50.1,19.7,28.6,39.2,34.6,47.7,70.7,10.2,9.8,10.0,47.3,32.5,18.0,53.8,28.2,21.9,48.1,29.9
293,Tennessee Tech,69.2,16.4,17.9,100.1,107.9,69.2,100.1,49.2,19.1,31.0,24.0,107.9,51.5,18.2,30.6,24.0,32.9,49.2,66.1,8.0,9.6,9.5,55.4,32.4,13.9,58.1,28.0,14.6,53.1,32.3
294,Texas,63.1,18.5,18.7,111.8,91.3,63.1,111.8,50.0,18.2,31.9,32.3,91.3,46.6,23.3,29.9,36.8,32.3,50.8,74.9,9.3,9.1,9.0,53.6,36.0,19.5,52.4,28.1,20.9,51.9,27.2
295,Texas A&M,66.6,17.0,17.7,108.9,94.8,66.6,108.9,49.7,19.3,33.7,35.8,94.8,47.8,23.9,33.5,33.8,33.1,49.7,70.6,12.5,10.7,8.6,53.0,34.8,20.3,52.0,27.7,20.5,49.9,29.6
296,Texas A&M Corpus Chris,69.2,15.9,17.2,96.6,103.3,69.2,96.6,47.2,19.7,34.0,38.0,103.3,49.0,22.6,28.8,42.3,31.8,46.9,74.3,10.2,9.0,10.7,53.9,31.3,23.0,52.6,24.3,24.5,44.7,30.7
297,Texas Southern,67.9,17.3,17.1,98.1,99.1,67.9,98.1,48.6,21.4,33.5,33.6,99.1,44.9,17.2,27.7,34.1,31.7,49.1,67.5,6.2,11.5,9.8,42.2,31.1,19.0,56.4,24.7,19.8,51.7,28.5
298,Texas St.,63.7,19.2,17.8,106.0,102.7,63.7,106.0,51.0,18.8,30.8,32.9,102.7,50.7,22.0,29.3,34.4,37.2,48.9,75.1,7.4,8.7,10.1,46.8,30.5,19.5,53.6,26.9,19.8,47.1,33.1
299,Texas Tech,66.4,17.8,17.8,109.7,84.9,66.4,109.7,52.4,20.3,33.2,36.1,84.9,45.5,23.6,26.1,32.1,31.4,55.1,69.9,7.3,10.3,10.0,52.3,34.4,19.4,55.6,25.0,19.4,42.7,37.9
300,The Citadel,70.4,16.3,17.8,101.3,107.4,70.4,101.3,52.0,17.2,23.8,30.0,107.4,50.4,13.8,29.5,26.3,34.8,51.7,68.0,9.4,9.6,7.6,58.9,49.6,16.4,42.0,41.6,16.2,51.9,31.9
301,Toledo,68.7,16.6,17.5,111.2,101.9,68.7,111.2,53.5,14.8,30.5,28.7,101.9,46.9,15.4,27.4,23.5,35.9,53.4,76.0,11.0,7.3,7.6,51.2,31.4,16.9,56.9,26.2,14.4,49.7,35.9
302,Towson,64.4,19.0,17.7,110.0,99.5,64.4,110.0,52.0,18.0,36.1,34.2,99.5,47.7,19.3,26.5,31.2,35.9,50.8,72.1,8.5,7.2,10.8,52.5,38.1,19.2,48.9,31.9,19.0,47.8,33.1
303,Troy,66.7,17.8,17.8,99.0,99.9,66.7,99.0,47.4,21.9,31.9,34.8,99.9,48.4,20.4,27.5,34.4,32.2,46.9,72.4,11.4,11.4,10.5,56.7,40.0,21.0,46.8,32.2,20.0,49.6,30.4
304,Tulane,67.8,17.1,17.6,108.8,101.2,67.8,108.8,51.2,15.0,20.1,33.4,101.2,49.6,20.3,32.8,28.5,36.5,49.0,75.6,12.5,7.4,7.6,53.4,38.6,19.8,47.1,33.1,17.0,44.2,38.8
305,Tulsa,66.4,17.3,18.2,103.8,104.0,66.4,103.8,49.6,19.0,26.7,31.0,104.0,52.2,20.1,30.1,29.0,34.2,48.5,72.6,10.9,10.6,8.4,49.0,36.1,18.5,51.0,30.4,16.1,44.9,39.0
306,UAB,68.8,16.4,17.7,112.4,98.5,68.8,112.4,52.9,16.3,33.4,29.5,98.5,47.9,21.4,27.4,31.5,38.4,50.6,73.9,8.8,7.8,8.5,44.6,32.7,17.1,53.4,29.5,18.9,50.6,30.5
307,UC Davis,67.0,17.5,17.7,98.3,102.1,67.0,98.3,48.6,17.9,26.2,29.4,102.1,47.3,19.2,28.9,36.9,32.3,48.7,71.6,6.0,8.3,9.6,43.9,31.5,17.8,56.4,25.8,21.6,49.5,28.9
308,UC Irvine,65.1,19.0,17.8,99.7,96.2,65.1,99.7,47.6,20.6,29.9,29.7,96.2,44.1,17.2,27.6,31.2,32.1,47.4,78.0,7.0,9.3,11.3,43.8,28.6,19.6,57.1,23.3,21.0,56.1,22.9
309,UC Riverside,65.2,19.0,17.6,100.7,100.9,65.2,100.7,50.7,18.3,22.4,26.9,100.9,47.1,16.1,22.4,28.2,32.3,52.2,72.9,7.9,7.8,10.6,53.6,40.0,16.2,51.8,32.0,17.8,58.7,23.5
310,UC San Diego,67.7,17.5,17.9,101.9,109.6,67.7,101.9,52.0,18.9,18.6,32.7,109.6,52.7,17.2,27.6,22.0,36.0,50.3,74.7,8.9,9.3,9.6,56.6,45.8,19.0,42.5,38.5,12.9,60.7,26.4
311,UC Santa Barbara,65.5,18.6,17.8,105.5,102.0,65.5,105.5,53.5,19.3,28.4,37.2,102.0,48.1,19.5,27.2,30.4,33.4,55.0,70.5,6.8,9.3,10.0,57.0,30.0,19.7,57.7,22.6,18.9,54.7,26.3
312,UCF,67.3,16.6,18.4,106.5,100.6,67.3,106.5,49.9,19.1,30.8,28.5,100.6,48.7,20.7,30.8,29.8,35.0,47.9,70.3,10.0,10.4,8.6,58.8,43.1,16.8,45.4,37.8,18.4,49.2,32.4
313,UCLA,65.5,17.9,17.8,116.1,91.2,65.5,116.1,50.6,13.4,32.0,29.8,91.2,47.7,19.8,24.8,29.2,35.1,49.6,73.6,7.9,6.6,6.8,50.0,31.5,17.8,55.2,27.0,18.1,50.5,31.4
